item_id;vectors
421;-0.54254836|0.032908022|0.18378492|0.32713628|-0.11684605|0.5228639|0.6340617|-0.5038557|-0.004011154|0.48285255|-0.34435585|-0.35727015|-0.7840059|0.34520504|0.4028481|0.04960773|-0.6380373|-0.026311696|-0.40911394|-0.31495997|0.06995767|0.46795145|0.32154757|0.54715294|0.29520518|0.87375224|-0.5387495|0.6874583|0.5218316|0.17511609|-0.3108756|-0.22799018|0.110161126|0.24105358|0.31059805|0.74368846|0.41453564|0.426091|0.108048484|-0.44154716|-0.09630808|0.14167899|-0.5074793|-0.065330796|0.09627298|-0.44205838|-0.707842|0.3635485|-0.06880837|0.3008252|1.0068077|0.45276082|0.43836948|0.51562154|-0.67729735|0.36117238|0.41391492|0.01854647|-0.33527535|0.3227646|0.5761889|0.5318471|-0.25263754|0.43693405|-0.0033863783|0.1944643|0.6817927|-0.69655055|0.47851515|0.10964215|-0.4408847|0.10131739|-1.0279775|-1.0098352|0.14448948|-0.679656|-0.33278218|-0.6061648|-0.08033359|0.10967688|-0.8208775|0.018973798|0.017720543|0.35523018|0.65512055|-0.055774316|0.3669749|-0.02577658|0.39551216|0.09628573|-0.14899719|-0.053569928|0.1391573|-0.20032963|-0.61615306|0.5542502|0.13269928|-0.21415967|-0.7559328|-0.1923634
422;-0.622238|0.057451442|-0.060438126|-0.065582216|0.17173998|0.6797416|0.6587695|-0.41609234|-1.0349746|0.11423978|-0.061345745|0.29664797|-0.42311507|0.115619004|-0.3168469|-0.11987471|-0.7870705|-0.2736928|-0.46780515|-0.21450186|-0.24413167|0.034779638|1.0155565|0.9826672|-0.4241911|0.5344496|0.18678673|-0.013313204|-0.13247699|0.50286007|0.19707635|-0.25533745|-0.5823982|-0.098829046|0.1515249|0.64445686|0.7344657|0.5945935|0.4653697|0.17970297|-0.30636653|0.00025952607|-0.587546|-0.24887107|0.35061854|0.11201388|-0.19902149|0.716629|-0.48571566|0.51752913|0.04491572|-0.06429684|0.1279719|0.18114206|-0.99389017|0.012688279|0.7078336|0.2668749|0.097430274|0.31143212|0.45758277|-0.039082944|-0.36827552|0.4928699|0.018522575|0.4929418|0.12394341|-1.2393821|0.50217754|0.6629529|-0.81510925|0.6230618|-0.4202627|-0.88887066|0.2097345|-0.3227256|0.6129598|-0.2905718|0.4884174|0.9225601|-0.87613857|-0.03343928|0.0465898|-0.17407629|1.190387|0.25325254|-0.3109017|-0.045255795|0.4553845|-0.08759263|-0.046712875|0.41034943|-0.2886458|-0.1572819|-0.09743562|-0.051903337|-0.16166857|-0.29940528|-0.5504433|0.07526328
423;-0.12825301|-0.27289173|0.6160888|0.25913092|0.290246|0.09983286|0.24135742|-0.38037798|-1.0305259|-0.037193015|0.20532396|-1.0320002|-0.64362663|0.7968428|0.20703942|-0.27363798|-0.25833166|-0.062393427|-0.074193045|0.20951144|-0.109013245|0.3101622|0.53958815|0.36178765|-0.062042236|0.35956985|0.102482274|0.24106984|0.44162145|0.18930484|-0.41632178|-0.3977483|-0.4842888|0.63236886|0.70630217|0.52304655|0.47995552|-0.010907054|0.28053653|-0.6923357|-0.18235227|0.25207588|-0.6794587|0.10341374|-0.3888557|-0.13830103|-0.5638545|0.64034677|0.024996355|0.6131811|0.23593989|0.58401436|0.054317474|0.5936241|-0.5942738|0.6714505|0.8825422|0.28588593|-0.5584785|-0.3178383|0.37421268|0.7063414|-0.5828129|0.38496864|0.29579175|0.5037981|0.29034716|-0.5560685|0.30275643|1.257061|-0.7533336|-0.54796106|-1.1823215|-0.571222|0.31263068|-0.40596873|0.021943197|-0.7173324|0.24003652|0.75941783|-0.77339494|0.45533198|0.07359074|0.00041611865|1.0735314|0.43292028|-0.11607419|0.0148522705|0.10638076|0.5089766|0.493934|-0.25765985|-0.26394838|-0.1949064|-0.82754135|0.38304362|0.2275546|-0.3828351|-0.8627939|0.31866574
424;-0.500168|0.3566625|0.40003765|0.35448596|-0.32104573|0.62912226|0.030090839|-0.34507272|0.043949813|0.37174606|-0.24854372|-0.65035325|-0.467395|0.008333027|-0.027181134|-0.028603423|-0.9045135|-0.21180645|-0.27555257|-0.30118984|-0.13296442|0.4986944|0.18209064|0.5605332|0.30880892|0.95114464|-0.2709328|0.68541896|0.03886032|0.7934725|0.11110547|-0.3600726|0.01035285|0.13987623|0.2286402|0.19470233|0.48599333|0.18904674|0.13558406|-0.8532913|-0.1864222|0.16984513|-0.37463966|-0.42455167|0.80992466|-0.2710815|-0.35661244|-0.01673615|0.03204833|0.15648252|0.48148572|0.49323744|0.48358625|1.0081433|0.0036607385|0.16983376|0.5806985|0.0639878|0.023138449|0.47278506|0.35230035|-0.09271872|0.10504629|-0.0982458|0.3026483|0.27812797|0.088467196|-0.92065275|-0.11146638|0.7535387|-0.099613994|0.26683939|-0.98532534|-0.24154359|0.17005138|-0.08883615|0.3151965|0.012807444|-0.10651171|0.5294602|-0.7903156|0.068737835|-0.09618013|-0.3188018|0.8678153|0.2605971|-0.25870633|0.41947484|0.4914044|-0.34657907|0.4815677|0.3581875|-0.23908526|-0.31793308|-0.45715192|0.30901575|0.025832526|-0.28607747|-0.72703075|-0.06985177
425;0.031799898|-0.0076438934|0.47562915|0.3040182|0.1126378|0.47273213|0.49917775|-0.1756753|-0.49209577|0.4072888|-0.0116575435|-0.8888633|-0.4686149|0.3678628|0.051025406|-0.17280728|-0.18206988|-0.6873155|-0.37969887|0.5746374|0.3392504|0.16917968|0.4703667|-0.018841952|-0.1341957|0.4933749|0.119610175|0.38005888|0.40331373|-0.28006232|-0.6152214|0.0663186|-0.2737727|-0.18091156|0.6212998|0.8270644|0.042384416|0.124550834|0.47967198|-0.56021655|-0.054771908|0.30866492|-0.41121823|-0.26383922|-0.23962505|-0.61190486|-0.32549343|0.5278056|-0.10407407|0.17974925|0.016735628|0.32609242|0.43366015|0.7311024|-0.2530132|0.29438668|0.51138353|-0.012021288|-0.4028768|0.17428052|0.5275955|0.34590438|-0.93453526|0.37006256|0.2698971|0.2496936|0.26787084|-0.26221815|-0.023040026|0.5141885|-0.43413687|-0.10995372|-1.0196139|-0.6367701|0.56359196|-0.11766076|-0.15947098|-0.06347452|0.28493965|0.14591803|-0.5722633|-0.13385236|-0.122875765|-0.09061201|0.4537177|0.22662249|-0.0058862492|0.05819139|0.034105957|0.248814|0.22179173|-0.40174145|-0.5304271|-0.050944954|-0.77541274|0.19405466|-0.007901154|-0.04486358|-0.5298852|0.49061203
426;-0.098897785|0.0077254474|0.24625167|0.27659345|-0.2188834|0.9741611|0.8267361|-0.4083761|-0.8667467|-0.2187947|0.23337148|-0.64829904|0.32233652|0.5859664|-0.43249184|0.43111375|0.05280313|-0.5627568|-0.2502959|0.08941277|-0.022120848|0.26070768|0.1759484|-0.62844336|0.19427396|0.34805685|-0.4872316|0.52122605|0.38558337|-0.43358555|-0.6897925|0.22909442|-0.013772488|0.51604617|0.8730265|0.17185444|0.39664617|0.06206134|-0.22353381|-0.75671506|-0.37121043|0.45081198|0.026175797|-0.34276456|0.10921965|0.15215677|0.026763797|0.027741343|-0.2691133|0.595724|0.1361479|0.06863035|0.20911714|0.41403082|-0.27626574|0.21245626|0.5808318|0.020303853|-0.32324526|0.37739924|0.11878842|0.040213883|0.6459829|-0.33762977|0.19622959|0.29688227|-0.024565399|-0.46360382|0.58225954|1.0388777|-0.08514485|0.13310286|-0.41927782|-0.5405113|0.3433146|-0.2794063|0.013852119|0.16865294|0.22151956|0.5357616|-0.59973264|0.6235758|0.12685584|-0.045565397|0.8854502|0.5182226|-0.36729383|0.39852843|-0.19226965|0.55113447|0.10787037|-0.4323675|0.40133038|-0.47370502|-0.38968566|0.15206525|-0.16336536|-0.70157063|-1.1502535|0.28427634
427;-0.16949585|0.62769616|0.2266668|-0.2349123|-0.3566638|-0.17356026|-0.06157121|-0.8271356|-0.24980283|0.36419398|-0.09452963|-0.43553805|-0.5458977|0.6917645|0.72710794|-0.31647614|0.052514344|-0.25788423|-0.0097748935|0.064660646|0.05350653|0.40017658|-0.038377643|0.00070494413|0.19702367|0.83054316|0.2887451|0.3029493|0.38006085|-0.12684348|-0.64735216|-0.2554014|-0.11906035|0.56615317|0.18492737|0.4293642|0.17665894|0.18953851|-0.3755327|-0.46728343|0.18609565|0.13397694|-0.7058501|-0.10007304|0.5313731|-0.57732904|-0.32824767|0.13321814|-0.29434496|0.486009|0.48581558|-0.07779905|0.44520235|0.24424717|0.2559028|0.0248892|0.807624|-0.39325935|0.6399952|0.3796742|-0.04821506|0.7159282|0.0742944|0.35322344|0.5801187|0.6593922|0.08572299|-0.9836986|0.35452163|0.54373366|-0.7419847|-0.13095129|-0.95412326|-0.45124066|0.2370346|-0.48073724|-0.20131454|-0.0977375|0.17619722|0.87913203|-0.67218804|0.15371856|0.3719753|0.06181568|-0.052203|-0.079110965|-0.13647574|0.20692989|0.57256305|0.21443246|0.067762986|-0.6087334|-0.66171575|-0.6703024|-0.08783439|0.47625062|0.081561975|-0.8675703|-0.5441808|0.58071715
428;0.3970557|0.069538005|0.6524188|-0.33127806|-0.012877146|-0.037180215|-0.42079762|0.041117996|0.0023028255|0.041030645|0.08617266|-1.0134485|-0.19116475|0.97944784|0.14285704|0.3089743|-0.092394605|-0.28970933|0.040206164|0.32712537|0.0120994|0.51242876|0.25860393|-0.01592651|-0.3193081|1.041446|0.2564716|0.5497675|0.23245889|0.36526036|-0.83698416|0.052972138|-0.081570506|-0.41022557|0.66531885|0.4546813|0.323975|0.49313778|-0.0333303|-0.27382067|-0.22662309|-0.06462397|-0.52182627|0.2923553|0.19571559|-0.39908454|-0.06050262|0.6846684|-0.31800243|0.61738735|0.0141518265|0.33785325|0.2520738|-0.17617035|-0.34899646|0.10995129|0.31904814|-0.20305258|0.119934246|0.38159117|0.70368814|0.57160497|-0.56751907|0.6412952|-0.28178924|0.4626753|-0.28371733|-0.39364237|0.12441535|0.75076985|-0.62924016|-0.5609523|-1.2139223|-0.1941202|0.68160963|-0.11791612|0.030809104|-0.2461553|0.7143749|0.40217462|-0.7255196|0.57556915|0.16488038|0.49186575|0.38461185|-0.45508862|0.360963|0.55983555|0.602192|-0.3619432|-0.29738882|-0.44532347|-0.19834664|-0.26447153|-0.12594348|0.28023455|-0.14892884|-0.03589651|-0.09027532|0.39450985
429;-0.047927205|0.6631666|-0.2830271|0.32549292|-0.5085055|0.34823605|0.52416325|-0.25158215|-0.50441897|-0.014082596|0.29419458|-0.70335454|-0.3735789|0.4388845|-0.16584335|-0.12135684|-0.3124114|0.020573705|0.3227699|-0.22212848|0.07994765|0.35564074|0.6485853|0.1608544|-0.18082607|0.5846658|0.13961077|0.8247658|0.51090205|0.27411538|-0.7803116|0.027698725|-0.032335043|0.12102993|0.6972922|0.67182374|0.34991184|0.5506456|0.3375957|-0.029302329|0.2073383|0.011672817|-0.73099124|0.5495389|0.6016683|-1.0912054|-0.84496665|0.752237|-0.25897148|0.4406945|0.09666984|0.4851148|0.45718426|0.8086669|-0.550041|0.40991515|0.23858392|0.16436121|-0.05346243|0.47598517|0.04525301|-0.016950846|-0.20878388|-0.038267583|-0.2275262|0.060407847|0.5056247|-0.40727282|0.8785697|0.31660312|0.053161055|-0.3986361|-0.2641086|-0.860433|-0.084680766|-0.21871386|0.1433364|0.118545696|0.06470984|0.07147041|-1.175919|0.099643014|0.32808274|-0.013921175|0.2395148|-0.0027670413|-0.45414567|-0.23459806|0.69584924|0.18494232|0.23261605|-0.36335444|-0.13801354|-0.3682881|-0.30959752|0.62171686|-0.407152|-0.123896495|-0.19740096|0.24061565
430;-0.39044815|0.51192397|-0.40152293|0.19237907|-0.53343207|0.49488497|-0.2119858|-0.16233127|-0.5156739|0.110121176|0.3295336|-0.3948859|0.01543799|0.49427786|-0.12158428|-0.21527785|-0.5406765|-0.33635503|-0.06832009|0.1473644|0.4476803|0.84922206|0.049075782|0.008605212|-0.5574211|0.7634905|0.18030852|0.907288|0.6680995|-0.097408175|-0.75285006|-0.14927395|-0.5223204|-0.063903734|0.40363652|-0.12918425|0.112717524|0.21659467|0.32581234|-0.62862384|-0.17127424|0.17731142|-0.22413954|0.47348952|-0.33052456|-0.61291206|-0.08715072|0.37503368|0.02849394|0.5007881|0.4549821|0.26220804|0.2890063|1.0255541|0.29613146|0.804479|0.35878325|0.27393362|-0.5048722|0.92356324|0.11105695|0.07141021|-0.3410622|0.508596|0.052751362|0.013835907|0.34546804|0.24525902|0.12153168|0.6542883|-0.4724531|0.26388043|-1.6992011|-0.6575808|0.39738864|-0.5215072|-0.5991114|0.17051895|-0.04087898|0.1349477|-0.45184577|-0.47204012|-0.41147882|-0.36600503|0.39577258|0.29828745|-0.088661686|0.59331274|-0.08618596|0.46558666|-0.26319003|-0.11117448|-0.09288719|-0.31422448|-0.32458925|0.49003682|0.406053|-0.6074786|-0.5963411|0.44324374
431;0.1792448|0.16893567|0.48984557|0.060747057|0.25947818|0.16436969|0.226995|-0.6100705|-0.2736125|-0.026419431|0.11391892|-0.5787703|0.0072129965|-0.27561113|0.41863492|0.0039374772|-0.28449458|-0.276925|-0.027971417|-0.031070203|-0.17322563|0.26260698|0.8820125|0.17593135|-0.15901618|0.87504053|-0.23416069|0.16484629|0.32092452|0.15180832|-0.1342848|0.20262879|-0.15058725|-0.2772705|0.6285296|0.05523929|0.41494513|0.2650059|-0.3399899|-0.4486597|0.0019683763|-0.01054614|-0.37938294|0.08070944|0.6228229|-0.021251231|-0.35602772|0.36017787|-0.6082874|0.7933319|0.34138402|0.35090205|0.08462264|0.66207093|-0.4968141|0.90085566|0.7352535|-0.3078263|0.64423925|-0.43969393|0.49295303|0.5589537|-0.19117881|0.47344366|0.41997296|0.5027905|0.4892369|-0.5412584|0.43444848|0.23413375|-0.67123663|-0.3576705|-0.7352674|-0.5427003|-0.09518936|-0.04248798|-0.29850924|-0.40561903|0.65762115|0.09631881|-0.45663264|0.5514278|-0.20476295|-0.1069272|1.2719135|0.22523656|-0.5944864|0.18100098|0.9845245|0.15161777|0.45517352|-0.05489859|0.114210665|-0.81412303|-0.68426347|-0.1259206|-0.24763|-0.795129|-0.71914375|0.16210431
432;-0.40008593|0.3250238|-0.042786658|0.434179|0.15029408|0.46294582|-0.023170114|-0.32448074|-0.33123106|0.19443512|0.21102063|-0.56540537|-0.6176369|0.9401542|0.40575334|0.13886307|-0.8833051|-0.2956076|-0.043248475|-0.10897711|0.8512357|0.7945695|0.3912183|-0.13292104|-0.5908822|1.3910155|0.10595253|0.6326362|0.91562337|0.3753823|-0.3485459|-0.102668226|-0.24550156|0.2442663|0.20834194|0.12487081|-0.23533148|0.23735766|-0.045524806|-0.682879|0.0121978|0.20126152|-0.5984641|0.30090365|-0.16888447|-0.15753053|-0.8746239|0.38550726|0.015927084|0.29588324|0.82124734|0.118676424|0.35671696|1.2613927|0.10659912|0.7330581|0.2076855|-0.1380913|-0.26340613|-0.19939214|0.564771|0.26613867|-0.38793993|0.1415076|0.2523306|0.38565743|0.39722806|-0.55510306|0.4660018|0.38289422|-0.27365395|-0.49687725|-0.53146386|-0.85693514|0.2924195|-0.4313863|-0.34871888|-0.26648498|-0.17595333|0.022821188|-0.5052322|-0.032316938|-0.7467853|0.71631587|0.56398106|0.22063905|-0.06476781|0.0930133|0.8136707|0.7143358|-0.12053983|-0.1189083|0.35384968|-0.8667251|-0.66096056|0.37476858|0.11137663|0.06121403|-0.24072391|0.11049977
433;-0.35016406|0.2563333|0.15220948|0.39156747|-0.29823548|0.6224231|0.37254655|-0.3841691|-0.49204344|-0.040746912|0.12393389|-1.2458742|-0.11825763|0.6456743|0.47767377|0.03529653|-0.7252599|-0.6259564|-0.72526634|0.318189|-0.11388971|0.29256397|0.32639113|0.4334608|-0.12716179|0.054427743|0.3292915|0.40731716|0.49582967|-0.24920797|-0.50201714|-0.6147052|-0.15690677|0.18988442|-0.23206767|0.051555514|0.5715171|0.47002032|-0.61963147|-0.49802244|-0.18715227|-0.19931178|-0.6089514|0.05690407|0.5415533|-0.6858685|-0.3606699|0.022750974|-0.07324073|0.59182525|-0.1253714|0.6454462|0.081447884|0.7138753|-0.16236833|0.15810639|0.6247857|-0.4247634|-0.17161846|0.42567077|0.6814519|0.004163623|-0.12645364|0.02265653|0.082809776|0.18264753|-0.13060047|-0.42248455|0.12431848|0.6928649|0.01414296|0.017826103|-0.7250973|-0.22081745|0.28684247|0.074448615|-0.33683997|-0.9092254|0.4676066|0.20010547|-0.5498891|0.1350841|-0.02875783|-0.31356442|0.5856786|0.4512486|0.06828813|0.22269444|0.45205635|0.23078027|-0.2782241|-0.5742674|-0.19345415|-0.47097978|-0.7007928|0.79608876|0.48007447|-0.64999485|-0.31301302|0.4220536
434;-0.034367584|0.44368964|0.003376931|0.20820409|0.76379967|-0.076545894|0.13515954|-0.63273704|-0.54263014|-0.492397|-0.19403395|-0.714211|-0.16818121|0.42188203|0.29569125|0.31035054|-0.40961695|-0.7987197|-0.24692751|-0.14817923|0.0031251162|0.10523051|0.31003404|0.7215128|-0.95932084|0.100952715|-0.48548055|0.6391861|0.123552084|-0.045734182|0.045792103|0.114542305|-0.6135554|0.29607022|-0.41451916|0.6294857|0.14678298|0.35789472|-0.40578765|-0.06888071|-0.1608535|0.8674865|-1.1356809|0.11264757|0.59050524|-0.1575326|-0.637866|0.9070549|-0.75866234|0.3784537|0.25505465|-0.1237008|-0.1016413|0.43462893|-0.620417|0.40861392|0.65993816|-0.6106973|-0.32855004|0.033754244|-0.2834589|0.8208554|0.22934292|0.18253721|0.36302054|0.14428264|-0.1756003|-0.057427675|0.44583392|0.20550719|-0.13877362|0.26577097|-0.99678665|-0.2277816|0.8317409|-0.37081623|0.095131174|-0.2711525|0.015210837|1.1699051|-0.31343368|0.46566573|0.5034909|-0.1844388|1.0277617|0.24385315|0.60321456|0.5092289|-0.055642456|0.34886348|0.4393955|-0.90948975|0.052700102|-0.16025372|-0.37668592|0.22860894|0.5045275|-0.25222299|-0.16997796|0.6198109
435;0.122955665|0.45263088|0.27548847|0.63309604|0.1419263|0.3677455|-0.12311751|0.3070585|-0.6096877|-0.09830494|0.3087155|-0.34538022|-0.08870655|0.48525563|-0.06761967|-0.33854195|-0.20009688|-0.5785881|0.28878415|0.2933138|0.09902099|0.48118582|0.60439765|-0.18236801|-0.6729949|0.8070072|-0.24355325|0.05684063|0.42543972|0.5549547|-0.20097561|-0.60401654|-0.38225052|-0.25427026|0.0068752468|1.0007783|0.5907956|0.32116094|-0.1660349|-0.10142146|0.26156068|-0.15516602|-1.0198207|0.14513125|0.5072897|-0.5306327|-0.77165246|0.53376687|0.2494525|0.8295895|-0.025246829|-0.05480501|0.2907085|0.4080121|-0.45763743|0.10486491|0.7494894|-0.14270015|-0.044379413|1.0070579|0.6146024|0.24211504|-0.34441692|0.9828193|-0.061621815|0.034286007|0.56446236|-0.57845056|0.3902641|0.69517505|-0.57908094|0.36541778|-0.66800034|-0.27235025|0.19573465|0.09974426|-0.068434685|-0.4914599|0.60261524|-0.15152502|-0.8389439|0.024026617|-0.08384018|-0.043910287|1.0454142|0.44720256|0.4844029|0.12596864|0.9394256|0.1926946|-0.55488014|0.045885712|-0.07651542|-0.08832714|-0.3147701|0.5318387|0.2636541|-0.62513685|-0.36302203|-0.20993136
436;-0.002684027|0.056580685|0.25272492|0.18339896|-0.11512669|0.30646276|0.23299158|-0.24268591|-0.57568437|0.34191412|-0.016834833|-0.76600254|-0.43705362|0.48107484|0.48069137|-0.042370744|-0.23403469|-0.59763265|-0.04148017|0.1336377|0.00070254505|0.542193|0.14586218|0.26057717|-0.08314978|0.49832326|-0.10793317|0.37883735|0.3027127|-0.008733422|-0.52802944|-0.368293|0.0096004605|0.13100797|0.26978663|0.46220016|0.6405978|0.3970847|0.5209819|-0.29550603|-0.22863643|0.17085284|-0.45857885|-0.1519988|0.3140157|-0.41458878|-0.58080626|0.35371396|0.08083306|0.70739937|0.3138943|-0.051183194|0.5093077|0.5600344|-0.44047368|0.16453385|0.57203424|0.026519537|0.016401663|0.56818783|0.24993387|0.2903176|-0.32006752|0.27883765|0.10064498|0.38515878|0.2947089|-0.55584514|0.21601999|0.5934504|-0.5354929|-0.19201954|-0.6055446|-0.44898957|0.31256324|-0.07476984|-0.17946851|-0.21000458|0.3308475|0.19935167|-0.45797497|-0.04667802|0.03507536|0.070453905|0.48696458|0.17496246|-0.09736046|0.15966043|0.6761216|0.07283202|-0.056404967|-0.15847899|-0.42344677|-0.12948689|-0.47203028|0.35287312|0.17073524|-0.57271874|-0.60613763|0.1458472
437;-0.078507476|0.042416506|0.23333348|0.20259514|-0.11212835|0.25725043|0.2205396|-0.23254001|-0.46338844|0.21979661|-0.079987906|-0.7403917|-0.5035864|0.44900692|0.34078953|-0.022695549|-0.30590504|-0.46645868|-0.12126307|0.1651036|-0.09497492|0.5857216|0.31048095|0.22780015|-0.09330517|0.3921349|0.041754898|0.24226376|0.3670182|-0.14544165|-0.48931703|-0.40596458|-0.06830229|0.23523538|0.22613339|0.5549854|0.5586277|0.4826266|0.38045663|-0.36734688|-0.1727306|0.2908007|-0.49345332|-0.09481455|0.2801394|-0.42761397|-0.46940067|0.45900425|-0.11561735|0.42101383|0.26466852|0.06413765|0.47244942|0.66024315|-0.42933214|0.05820383|0.50789547|-0.14239557|-0.12797403|0.49381477|0.2517957|0.42748365|-0.38326967|0.31167835|0.12613042|0.2545567|0.23745938|-0.4783222|0.23722146|0.5620459|-0.57818747|-0.1710065|-0.6184752|-0.43057635|0.48147947|-0.23480041|-0.10491594|-0.23917617|0.37035567|0.21804331|-0.515341|0.10946476|0.032253757|0.06037075|0.5175587|0.10748016|0.007655956|0.08300069|0.5806795|0.19068506|-0.09026855|-0.24058893|-0.37936628|-0.15220927|-0.51671416|0.3018393|0.13638799|-0.5427157|-0.45638222|0.14850742
438;0.006532714|0.0879607|0.2712657|0.32094118|-0.14820844|0.30451673|0.17634766|-0.27725288|-0.55962443|0.16203128|-0.14505023|-0.8124708|-0.41321132|0.5344808|0.5144417|-0.029095089|-0.2874786|-0.5715381|-0.06430625|0.15551898|0.033037484|0.44464126|0.2585556|0.36318302|-0.08307586|0.5274782|-0.11376041|0.21600015|0.34419858|-0.06014596|-0.47428253|-0.39137703|0.020166844|0.10705817|0.23506041|0.43516088|0.7555434|0.43892962|0.4138857|-0.43857855|-0.14503692|0.28364277|-0.5608219|-0.07529811|0.36199987|-0.4164206|-0.5437803|0.32986373|-0.02309769|0.62803316|0.34369287|-0.013217926|0.42433533|0.6656334|-0.32546383|0.09653436|0.58808106|-0.1724852|-0.123272225|0.48318782|0.14737886|0.35894087|-0.37560284|0.4015687|0.22214258|0.21375269|0.29480714|-0.55956125|0.18885495|0.48921153|-0.5342398|-0.08446309|-0.671354|-0.33058745|0.45526958|-0.069083184|-0.24930695|-0.19497453|0.4344576|0.26660758|-0.36025307|-0.11276224|0.05229208|-0.00063664094|0.3811851|0.08767538|-0.0043267235|0.093676224|0.6945902|0.026884973|-0.12398459|-0.2056583|-0.35257125|-0.090943545|-0.5920212|0.40334484|0.18482766|-0.493262|-0.5966112|0.082105756
439;-0.22022307|0.045554608|0.39409688|0.22063807|-0.296004|0.43072236|0.55319935|-0.10114907|-0.19809286|-0.029434234|-0.2100331|-0.66158557|-0.43577605|0.28790915|0.26329854|0.057229057|-0.16632074|-0.45517176|0.048276126|0.08965577|0.02526401|0.810511|0.5410356|0.32812572|-0.057153374|0.8211045|-0.033323605|0.39384258|0.34588808|-0.067515165|-0.5112446|-0.212146|-0.23970199|0.4848652|0.37976554|0.76854545|0.101070195|0.17114183|0.077645294|-0.60780084|-0.09045912|0.3371113|-0.60478014|-0.05611422|0.4365896|-0.37893006|-0.5527607|0.5727491|-0.110427335|0.30223644|0.5922247|0.5357703|0.15039176|0.44694978|-0.22188708|0.13573433|0.7695744|-0.18895617|-0.4757896|0.46060538|0.31714636|0.6241874|-0.21627505|0.33506706|0.18528795|0.23963872|0.299032|-0.7563206|0.16159336|0.60780466|-0.18739216|-0.16384876|-0.93062794|-0.5603452|0.23260242|-0.29570645|-0.16052163|-0.23228444|0.103292674|0.5926747|-0.5538024|0.09796729|-0.17434552|0.06512632|0.36705434|0.3930049|0.23039275|0.046516925|0.5304576|0.23212251|0.3976448|-0.3917206|-0.35113382|-0.6216587|-0.6474922|0.626245|0.24798456|-0.5148706|-0.40619797|0.47481418
440;-0.17648286|0.34503454|0.013643384|0.489291|0.28346995|0.4674232|-0.052639782|0.2090738|-0.3005462|0.9522027|0.026071616|-0.6154882|0.035671145|0.48235297|0.16022989|0.12955967|-0.3528562|-0.88297415|-0.21568483|0.3463381|0.17441992|0.6718313|0.19006777|0.43346095|-0.35030574|0.7105745|0.25180447|0.10077584|0.4439454|-0.19185257|-0.22063792|-0.0062109083|-0.41483605|0.020195961|0.56992507|0.74408376|-0.08602145|-0.11898324|0.2857728|-0.5059639|-0.5145385|0.16104883|-0.5952785|0.4692859|0.25710237|-0.83430743|-0.4974355|0.6079955|0.22231367|0.32396275|0.9913472|-0.056218833|0.5813829|0.24961805|-0.4002621|0.72533524|0.74243397|-0.29540098|0.05620925|-0.09774974|0.38651663|0.38829243|-0.20534992|0.15358454|-0.23119141|0.30736035|0.06556995|-0.45196518|0.52135634|1.0512754|-0.20519008|-0.12681246|-0.2381717|-0.16317216|0.501451|-0.40177768|-0.5881163|-0.08221674|0.3243593|0.4364949|-0.97593206|-0.079719394|-0.5489632|-0.4862676|0.38622415|0.45251817|0.2829237|0.37474477|0.2497673|0.38765323|0.15389806|-0.484563|-0.17252791|-0.7890251|-0.39892092|0.1879044|0.37775213|-0.06871489|-0.26702973|0.18111733
441;0.00489223|0.102475464|0.2740349|0.3927693|-0.131374|0.36230698|0.47273913|-0.0056019723|-0.52405494|0.22373097|0.02834043|-0.576684|-0.18557845|0.676395|0.3133091|-0.086098336|-0.1699792|-0.48811466|-0.10563281|0.1509979|-0.10399513|0.58287346|0.1374014|0.08135104|-0.1211891|0.31143025|-0.21902479|0.3547551|0.4273458|0.099032074|-0.40251762|-0.30561757|-0.100026056|0.2072391|0.44243652|0.5758822|0.5832152|0.34378964|0.35513368|-0.36958766|-0.1084595|0.22680292|-0.70377976|-0.06988994|0.34310332|-0.31265104|-0.5777204|0.5396889|0.13204181|0.40226904|0.40697628|0.21834713|0.5531089|0.65030646|-0.279655|-0.047221065|0.60226965|0.049929492|-0.27676296|0.6068523|-0.033295155|0.20790595|-0.14918156|0.24940065|0.35359758|0.20962018|0.34111428|-0.6462363|0.40074828|0.50624555|-0.46062884|-0.15107408|-0.68400323|-0.24680018|0.51078284|-0.09494567|-0.111516014|-0.13909909|0.34110352|0.35309798|-0.51846117|-0.19101545|0.013434187|0.038801|0.4906063|0.16125356|-0.089756936|0.05584757|0.7658687|0.25102326|-0.018566286|-0.3961962|-0.31020176|0.07210943|-0.53418785|0.48664802|0.34462118|-0.39823997|-0.35867393|0.17617077
